Age,lx,qx,Lx,ex,mx
0,100000,0.00453,99773,81.4,0.00454
1,99547,0.00035,99529,80.7,0.00035
2,99512,0.00022,99500,79.8,0.00022
3,99490,0.00016,99481,78.8,0.00016
4,99474,0.00014,99466,77.8,0.00014
5,99460,0.00012,99453,76.8,0.00012
6,99448,0.00012,99441,75.8,0.00012
7,99436,0.00011,99430,74.8,0.00011
8,99425,0.00011,99419,73.8,0.00011
9,99414,0.00011,99408,72.8,0.00011
10,99403,0.00011,99397,71.8,0.00011
11,99392,0.00011,99386,70.9,0.00011
12,99381,0.00011,99375,69.9,0.00011
13,99370,0.00012,99363,68.9,0.00012
14,99358,0.00019,99348,67.9,0.00019
15,99339,0.00024,99326,66.9,0.00024
16,99315,0.0003,99299,65.9,0.0003
17,99285,0.00033,99268,64.9,0.00033
18,99252,0.00035,99234,63.9,0.00035
19,99217,0.00037,99198,63,0.00037
20,99180,0.00037,99161,62,0.00037
21,99143,0.00037,99124,61,0.00037
22,99106,0.00037,99087,60,0.00037
23,99069,0.00035,99051,59.1,0.00035
24,99034,0.00035,99016,58.1,0.00035
25,98999,0.00035,98981,57.1,0.00035
26,98964,0.00035,98946,56.1,0.00035
27,98929,0.00037,98910,55.1,0.00037
28,98892,0.00039,98872,54.2,0.00039
29,98853,0.00044,98830,53.2,0.00044
30,98809,0.00049,98784,52.2,0.00049
31,98760,0.00054,98732,51.2,0.00054
32,98706,0.00058,98676,50.3,0.00058
33,98648,0.00061,98617,49.3,0.00061
34,98587,0.00064,98554,48.3,0.00064
35,98523,0.00068,98489,47.3,0.00068
36,98456,0.00073,98419,46.4,0.00073
37,98384,0.00082,98343,45.4,0.00082
38,98303,0.0009,98258,44.5,0.0009
39,98214,0.00098,98165,43.5,0.00098
40,98117,0.00107,98064,42.5,0.00107
41,98012,0.00117,97954,41.6,0.00117
42,97897,0.00126,97834,40.6,0.00126
43,97773,0.00139,97704,39.7,0.00139
44,97637,0.00151,97562,38.7,0.00151
45,97489,0.00165,97408,37.8,0.00165
46,97328,0.00178,97240,36.9,0.00178
47,97154,0.00193,97059,35.9,0.00193
48,96966,0.00209,96864,35,0.00209
49,96763,0.00227,96652,34.1,0.00227
50,96543,0.00245,96424,33.1,0.00245
51,96306,0.00265,96177,32.2,0.00265
52,96050,0.00288,95911,31.3,0.00288
53,95773,0.00311,95623,30.4,0.00311
54,95475,0.00339,95312,29.5,0.0034
55,95151,0.00367,94975,28.6,0.00368
56,94801,0.004,94610,27.7,0.00401
57,94421,0.00434,94215,26.8,0.00435
58,94011,0.00472,93788,25.9,0.00473
59,93567,0.00514,93326,25,0.00515
60,93086,0.00559,92825,24.2,0.00561
61,92565,0.00608,92283,23.3,0.0061
62,92002,0.00661,91697,22.4,0.00663
63,91393,0.00719,91063,21.6,0.00722
64,90735,0.00782,90379,20.7,0.00785
65,90025,0.00851,89641,19.9,0.00855
66,89258,0.00929,88842,19.1,0.00933
67,88428,0.0102,87976,18.2,0.01025
68,87526,0.01125,87033,17.4,0.01131
69,86541,0.01246,86001,16.6,0.01254
70,85462,0.01386,84869,15.8,0.01396
71,84277,0.01548,83624,15,0.0156
72,82972,0.01733,82252,14.2,0.01748
73,81534,0.01942,80741,13.5,0.01961
74,79950,0.02173,79080,12.7,0.02197
75,78212,0.02425,77263,12,0.02455
76,76315,0.02709,75280,11.3,0.02746
77,74247,0.0304,73117,10.6,0.03087
78,71989,0.03431,70753,9.9,0.03491
79,69519,0.03896,68164,9.3,0.03973
80,66810,0.04449,65323,8.6,0.0455
81,63837,0.05104,62207,8,0.05238
82,60578,0.05872,58798,7.4,0.0605
83,57020,0.06767,55090,6.8,0.07004
84,53161,0.078,51087,6.3,0.08117
85,49014,0.0898,46812,5.8,0.09402
86,44612,0.10318,42309,5.3,0.1088
87,40008,0.11822,37642,4.8,0.12565
88,35278,0.13501,32896,4.4,0.14479
89,30515,0.15358,28171,4,0.16636
90,25828,0.17347,23587,3.7,0.18995
91,21347,0.19327,19283,3.4,0.21396
92,17221,0.21555,15364,3,0.2416
93,13509,0.24269,11869,2.7,0.27622
94,10230,0.27292,8833,2.5,0.31608
95,7438,0.3037,6308,2.2,0.3581
96,5179,0.33274,4316,1.9,0.39927
97,3455,0.35423,2842,1.7,0.43063
